Time,A_x,A_y,A_movement,B_x,B_y,B_movement,C_x,C_y,C_movement,D_x,D_y,D_movement
2026-07-17 15:47:29,None,None,0,None,None,0,None,None,0,None,None,0
2026-07-17 15:47:30,None,None,0,None,None,0,None,None,0,None,None,0
